"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"C_Disc_D3_P2.5";2;"20pF";;;
2;"C3";"C_Radial_D8_L11.5_P3.5";1;"1uF";;;
3;"C4,C5,C6,C7";"C_Disc_D3_P2.5";4;"1.0uF";;;
4;"C8";"C_Radial_D8_L13_P3.8";1;"1000uF";;;
5;"D1";"LED-3MM";1;"LED";;;
6;"IC1";"DIP-28_W7.62mm_LongPads";1;"ATMEGA328-P";;;
7;"P1";"WireConnection_2.00mmDrill";1;"SOLAR_PANEL";;;
8;"P2";"WireConnection_2.00mmDrill";1;"5V_pololu";;;
9;"P3";"WireConnection_2.00mmDrill";1;"BATT";;;
10;"P4";"WireConnection_2.00mmDrill";1;"SUPERCAPS";;;
11;"P5";"Pin_Header_Straight_1x09";1;"GPS_breakout_connector";;;
12;"P6";"Pin_Header_Straight_1x08";1;"SD_breakout_connector";;;
13;"P7";"Pin_Header_Straight_1x05";1;"Iridium_connector";;;
14;"P8";"Pin_Header_Straight_1x04";1;"VN100_connector";;;
15;"P9";"Pin_Header_Straight_2x01";1;"RPI_connector";;;
16;"P10,P11";"Pin_Header_Straight_1x08";2;"CONN_01X08";;;
17;"P12";"Pin_Header_Straight_1x03";1;"CONN_01X03";;;
18;"P13,P14,P15";"Pin_Header_Straight_2x01";3;"CONN_01X02";;;
19;"R1";"Resistor_Horizontal_RM10mm";1;"5.6k";;;
20;"R2";"Resistor_Horizontal_RM10mm";1;"3.9k";;;
21;"R3,R5,R6,R7";"Resistor_Horizontal_RM10mm";4;"50k";;;
22;"R4";"Resistor_Horizontal_RM10mm";1;"220";;;
23;"R8";"Resistor_Horizontal_RM10mm";1;"46k";;;
24;"R9";"Resistor_Horizontal_RM10mm";1;"32k";;;
25;"U1";"TO-220_Neutral123_Vertical";1;"IRLB_8721_SOL";;;
26;"U2";"TO-220_Neutral123_Vertical";1;"IRLS-8721_MEGA";;;
27;"U3";"DIP-16_W7.62mm_LongPads";1;"MAX232";;;
28;"U4";"TO-220_Neutral123_Vertical";1;"FQP27P06";;;
29;"XA1";"Arduino_Mega2560_Shield";1;"Arduino_Mega2560_Shield";;;
30;"Y1";"Crystal_HC49-U_Vertical";1;"16MHz";;;
31;"W1";"NetTie-I_Connected";1;"NET-TIE";;;
